,tweet_id,Usuário,Publicação,Data,Compartilhamentos,Comentários,Likes,Citações,Sentimento
746,1546326903455420416,Thayza 🦋,e ai @ifood o entregador sumiu com o meu pedido e ninguém me da suporte no chat é isso mesmo? nem a opção de cancelar por furto vcs me dão?,2022-07-11 02:53:57+00:00,0,1,0,0,neg
747,1546326644478156800,Freddy,e ele ta dormindo e eu entediada e o bom é q nem pedi ifood porém ja ja a fome bate q tristeza pqp,2022-07-11 02:52:56+00:00,0,0,0,0,neg
748,1546326545417003008,ؘ,estou on ✅ trampo ifood rolando aprovações &amp; virada de saldo consultavel &amp; cc'full,2022-07-11 02:52:32+00:00,0,0,0,1,pos
749,1546326378609610754,mayara_ragazzan,agr q tenho dinheiro to coçando a mao p comprar algo no ifood,2022-07-11 02:51:52+00:00,0,0,0,0,neg
750,1546325970491244544,Rui,melhor resposta!!! adoro #ifood https t co s praj qwf,2022-07-11 02:50:15+00:00,0,0,2,0,pos
751,1546325526591291392,mariana,@cmiiu vc é a mulher do ifood pô faça jus a isso,2022-07-11 02:48:29+00:00,0,0,1,0,pos
752,1546325497273106432,Jenny,o moço do ifood me conhece… eu acho que tenho que dar um tempo,2022-07-11 02:48:22+00:00,0,1,0,0,pos
753,1546324874377023489,Rafaela 🐆🇾🇪,pq não vende milho no ifood? 😭,2022-07-11 02:45:54+00:00,0,0,0,0,neg
754,1546324730336219138,viajo pq preciso 🌸,o ifood tá tão defasado né,2022-07-11 02:45:19+00:00,0,0,0,0,pos
755,1546324649616805893,thami,estou prestes a sair pelo meu bairro sozinha essa hora pra buscar ☝🏻 bolo no pote caso eu seja sequestrada a culpa é de quem n enviou um ifood pra cá,2022-07-11 02:45:00+00:00,0,1,1,0,neg
756,1546324626061623299,beezow doo-doo zopittybop-bop-bop,pleno domingo e o morto de fome do entregador do ifood me deu um golpe e muito provavelmente comeu meu lanche,2022-07-11 02:44:54+00:00,0,1,0,0,pos
757,1546324492129116160,pesdebronze2,@dattebanho por isso eu ia mandar pelo ifood kkkkkk,2022-07-11 02:44:22+00:00,0,1,1,0,neg
758,1546324463100248071,Louvem🦕,rt @goddessredqueen ifood disponível para vc que tá aí louco para ser o trouxa da vez que vai pagar e ainda se sentir orgulhoso disso! ht…,2022-07-11 02:44:15+00:00,3,0,0,0,pos
759,1546324331239702529,pinkman,tenho o prazer de ir no ifood escolher com cuidado meu pedido e limpar a sacola repentinamente pois não vou gastar dinheiro com isso,2022-07-11 02:43:44+00:00,0,0,0,0,neg
760,1546324168647610368,mizi 🦖🖤,dormi e acordei para estudar esqueci de um detalhe to morrendo de fome e os lanches no ifood estão pra hora da morte,2022-07-11 02:43:05+00:00,0,0,0,0,neg
761,1546323963785220098,Volmir Matar,pedimos ifood e colocamos pra deixar na portaria o entregador se recusou e levou nossa comida embora 🤡,2022-07-11 02:42:16+00:00,0,1,7,0,pos
762,1546323897905303554,Kaio Picon,você realmente está dodói da cabeça? e eu procurei imagem no aplicativo do ifood achando que era o pinterest 😰,2022-07-11 02:42:01+00:00,0,0,1,0,pos
763,1546323709086126080,rata,rt @sergios paizão mete no entregador do ifood foda rápida e gostosa igual a entrega! https t co yushiumqp,2022-07-11 02:41:16+00:00,136,0,0,0,pos
764,1546323565309566976,alanbida,@maaahjurique n sei dessa mas descobri recentemente a melhor pizzaria de slz! chama casa da petite tem no ifood a pizza marguerita especial é dos deuses,2022-07-11 02:40:41+00:00,0,0,1,0,pos
765,1546322918702997505,𓃮,rt @imjuliyear ifood você tem cupons! 😍 bora usar? regras ter nascido entre e estar em jejum; mamar o entregador; faz…,2022-07-11 02:38:07+00:00,1,0,0,0,pos
766,1546322543941926912,O tal do EziO 🇪🇬,pior que não dá nem pra pedir pra alguém me mandar um açaízinho porque não tem nenhum aberto no ifood 🫠,2022-07-11 02:36:38+00:00,0,0,0,0,neg
767,1546322534819418118,Yujin Yoshita Moreira,estou com um problema com a conta entregador do @ifood tento entrar na minha conta e pede recadastro alguém sabe como resolver? não consigo entrar em contato com o suporte,2022-07-11 02:36:36+00:00,0,0,0,0,neg
768,1546322422466596865,Luíza!,trabalho no ifood agora? https t co efgoyxnzwp,2022-07-11 02:36:09+00:00,0,0,0,0,pos
769,1546322249124306944,BOCA DE 09 CARTAO CLONADO,eu de tpm na minha mãe chapada com tédio esperando o ifood bateria acabando e morrendo de medo de não conseguir pedir um uber pra casa a tempo minha menstruação desce com tudo numa casa onde não se tem absorvente algum já que ela já tá véia e não precisa pensa no ódio 🫠,2022-07-11 02:35:28+00:00,0,1,1,0,neg
770,1546322187493158913,keisso meu filho calma,@qmariio 🚨cansado de comprar e não receber? vem comigo consultavel para compras na net e virada de saldo e as unidades apenas para compras na net shein ifood americanas uber entre outros tenho referencias 💳,2022-07-11 02:35:13+00:00,0,0,0,0,pos
771,1546321961860714501,Everton Lopes,rt @airt nn te amo promoção de do ifood te amo,2022-07-11 02:34:19+00:00,1,0,0,0,pos
772,1546321932546674693,clarinha,rt @ilmaroficial alô @ifood tem colaborador do app vendendo comida estragada e o pior que vocês não fazem nada não tem estorno por caus…,2022-07-11 02:34:12+00:00,1,0,0,0,neg
773,1546321825856212994,Emi,vc tá querendo chamar atenção minha manda sla um ifood aq em casa puta,2022-07-11 02:33:47+00:00,0,0,0,0,pos
774,1546321377556402176,Anna,pedi um pote de sorvete no ifood recusaram meu pedido 🥲,2022-07-11 02:32:00+00:00,0,0,0,0,pos
775,1546321323332452352,mi⁷ 🌸 || breakfast || ST4 🕰,pedi um ifood tem muito tempo to achando que roubaram meu lanche,2022-07-11 02:31:47+00:00,0,0,0,0,pos
777,1546321173214109696,Dr. McFly,@vulgoduardin vamo rachar um agr perai tô abrindo o ifood,2022-07-11 02:31:11+00:00,0,1,1,0,pos
778,1546321101537648640,Gangstermalvadin☠️,fome não sei se abro o ifood ou o grindr,2022-07-11 02:30:54+00:00,0,0,2,0,neg
779,1546321059196051462,daniel,pedir ifood é um vício kkkkkkkk,2022-07-11 02:30:44+00:00,0,0,0,0,pos
780,1546320916317179911,Gésio Palhano,mano p isso q eu peço ifood sempre no mesmo lugar dou chance p outros ai n acabo gostando aaaaaaaaaa,2022-07-11 02:30:10+00:00,0,0,0,0,pos
781,1546320803633025024,dop,putaço @ifood hora e minutos pra cancelarem o pedido https t co x ylzpoksr,2022-07-11 02:29:43+00:00,0,0,0,0,pos
782,1546320508706250753,a bicha de blair,abri o ifood pra comprar docinho vi meu carrinho parado com bruschetta e vinho q ia mandar pra nat ontem mas tava impossibilitada da minha sobriedade e ficou lá 👍 👌🏼,2022-07-11 02:28:33+00:00,0,1,0,0,pos
783,1546320313729880070,Pedro Oliveira,lembrarei p sempre deste dia em que pedi ifood em restaurantes diferentes e os cancelaram,2022-07-11 02:27:46+00:00,0,2,4,0,pos
784,1546320310680666113,BEYONCÉ IS COMING,@layvalle_ pede reembolso pro ifood no mc eles n respondem chat msm n kkkkkkk é doideira,2022-07-11 02:27:45+00:00,0,1,1,0,pos
785,1546320073257803782,Insetodadeusa,a merda do pedido não chegou ainda faz alguma coisa @ifood,2022-07-11 02:26:49+00:00,0,0,0,0,neg
786,1546320071122894849,airto,rt @thadommesadica tô querendo um ifood no jantar algum corno pra pagar pra mim e meu macho?? findom femdom humanatm capacho paypig,2022-07-11 02:26:48+00:00,4,0,0,0,pos
787,1546319362449354752,Rodrigo França,rt @domfoda pedro sempre notou os olhares de breno seu namorado para o entregador do ifood até que um dia ofereceu breno ao entregado…,2022-07-11 02:23:59+00:00,345,0,0,0,pos
788,1546319320573157376,𝖒𝖆𝖓𝖚,pedi japa no ifood agora eles cancelaram h que to esperando pra nada… que ódio,2022-07-11 02:23:49+00:00,0,1,0,0,pos
789,1546319311572279296,𝖒𝖊𝖉𝖚𝖘𝖆,@expondoegirl minha comida tá chegando ifood já notificou mas aqui sua mãe sabe do seu vício?,2022-07-11 02:23:47+00:00,0,1,0,0,pos
790,1546319199773024259,Aldebaran da casa de corno,comprei a desgraça de um caldo pra comer pedi pra viagem na porta de casa a sacola arrebenta e meu caldo vai pro crlh aí fui pedir pelo ifood coloquei na sacola e vacilei no zaper conversando com a mina na hora de fechar o pedido o restaurante tinha fechado a min atrás me odeio,2022-07-11 02:23:21+00:00,0,0,3,0,neg
791,1546319107800420352,Yan,"dia da pizza e decidi fazer um pedido pelo @ifood pedi uma pizza do filipinni e fiquei esperando completou h de atraso da entrega e liguei pro restaurante a atendente comentou ""mais uma vez motoqueiro do ifood não entrega o pedido assim a gente vai falir 😥",2022-07-11 02:22:59+00:00,0,2,1,0,pos
792,1546319044122386434,o diário de Daniela,@eumesmo @umusicbrasil @ifood eu tenho cd errado do box de sandy e junior de até hoje,2022-07-11 02:22:43+00:00,0,0,1,0,pos
793,1546319043820486656,Queiroz 🤪,bom pedi uma jantinha no ifood filminho e dormes fuiiii,2022-07-11 02:22:43+00:00,0,0,0,0,pos
794,1546319042264408067,joaozin,não eh possível que ninguém nunca tenha pensado em revolucionar o mercado do ifood em nova lima gente parece uma roça não tem nada,2022-07-11 02:22:43+00:00,0,0,0,0,neg
795,1546318864702742533,yaas,gasto mais em ifood do q em role ta dando nao,2022-07-11 02:22:01+00:00,0,0,0,0,neg
796,1546318303655870464,BOCA DE 09 CARTAO CLONADO,@gatha 🚨cansado de comprar e não receber? vem comigo consultavel para compras na net e virada de saldo e as unidades apenas para compras na net shein ifood americanas uber entre outros tenho referencias 💳,2022-07-11 02:19:47+00:00,0,0,0,0,pos
797,1546318245019402250,jooj,o clube ifood já começou a cheirar mal quando colocou h de intervalo entre um pedido e outro aí agora avacalharam e tiraram meus cupons de r pra por uma porcaria de cupom de com desconto máximo de r kkkkkkk nunca mais compro esse clube ifood foi bom enquanto prestava https t co pvdkznmaii,2022-07-11 02:19:33+00:00,0,0,2,0,neg
798,1546317908837629952,bombomdecafé,fui pedir ifood e os caras simplesmente implorando https t co gqfkxwhyiv,2022-07-11 02:18:13+00:00,0,0,0,0,pos
799,1546317779539791873,Ne Sa ✨,entrega em toda jpa 🏍️ pedidos pelo link ✨ https t co x guqqrsxr pedidos pelo ifood tem cupom 😃 https t co xbtsf xo k https t co g jdupcuos,2022-07-11 02:17:42+00:00,0,0,0,0,pos
800,1546317663353405440,Eloá,eu adoro o conceito do matheus ser um homem de quase metros de altura e da largura de uma porta pedir para não colocar cebola nos lanches do ifood porque ele é “alérgico”,2022-07-11 02:17:14+00:00,0,0,0,0,neg
801,1546317633947148291,Rute Souzaa,eu to mt puta pedi um combo de pizza refri no ifood e a entrega além de ter demorado h pra ser feita ainda veio faltando o refri tô possessa aqui,2022-07-11 02:17:07+00:00,0,0,0,0,neg
802,1546317496248147968,Bonita,rt @clara_organelas roubaram nosso pedido no ifood véi,2022-07-11 02:16:34+00:00,1,0,0,0,pos
803,1546317447904612352,LaUun 🤠,@healitys espero que seu ifood chegue igual esse da foto https t co mxn lviis,2022-07-11 02:16:23+00:00,0,0,0,0,pos
804,1546317407471509504,Jota,@alkiminaj @ifood uma vez pedi demorou h pra entregar eu tinha cancelado e estornado e eles ainda entregaram kkkkkk e eu comi,2022-07-11 02:16:13+00:00,0,2,2,0,pos
805,1546317287925448705,Lari uchis,chapada conversando com a pessoa que cuida do ifood do dog kakakakakak perfeita amei,2022-07-11 02:15:45+00:00,0,0,1,0,pos
806,1546317210729185282,𝒔𝒂𝒎𝒂𝒓𝒂𝒐 🐈‍⬛💪🏻,@lil_bosak @vin_alvs só fazer um encontro pelo ifood 🫶🏻,2022-07-11 02:15:26+00:00,0,0,1,0,pos
807,1546316427669475328,rich,quem me mandar um ifood agora vai ganhar algo exclusivo que ninguém nunca teve! um beijo meu 😻 quem vai ser?😭,2022-07-11 02:12:20+00:00,0,1,0,0,pos
808,1546316318135255042,monalisa do boteco,eu tenho uma sorte grande com ifood toda vez h pra chegar e pouca fome que tô,2022-07-11 02:11:54+00:00,0,0,0,0,pos
809,1546316232864980992,Tayô,"o motoboy do ifood pedindo meu número pra enviar a localização pq não tava achando a minha casa e eu passei deu minutos e ele chega e vem de gracinha ""pronto agora tenho salvo o número de uma deusa"" vsf meu irmão",2022-07-11 02:11:33+00:00,0,6,2,0,neg
810,1546316140263219200,IGAO E KBELO MEUS HERÓIS,a partir de hoje sou o hater número do ifood 👍🏽,2022-07-11 02:11:11+00:00,0,0,1,0,pos
811,1546316135552978950,🍎◢♂◣𝔼𝕍𝔸◥♀◤🍎 #MFSDV líder #MafiaSDV/ #HeSDV,minutos pra chegar um lanche no ifood aff,2022-07-11 02:11:10+00:00,0,1,3,0,neg
812,1546316114124324868,Mr. Brightside,perdi reais em cupom do ifood pq não usei a tempo,2022-07-11 02:11:05+00:00,0,0,0,0,pos
813,1546315578738151424,Tome Pala ®️,e eu que fui num café recentemente e o cardápio era pelo ifood eu tava lá mas tinha que pedir no ifood??????? https t co kznrnd,2022-07-11 02:08:57+00:00,0,1,0,0,neg
814,1546314929652875267,sarão,pensando que o dinheiro que gastei ontem podia gastar hoje com ifood,2022-07-11 02:06:23+00:00,0,0,0,0,neg
815,1546314795162505216,Nayanne ✠,cassete segunda vez que faço um pedido no ifood na mesma loja e o motoboy rouba o pedido que inferno!!!,2022-07-11 02:05:50+00:00,0,1,1,0,pos
816,1546314589423419393,dani cadelinha de fatui ✠,hora esperando o ifood entregar um pao com salsicha 🤡,2022-07-11 02:05:01+00:00,0,1,0,0,neg
817,1546314394761658369,amanda,@alicevanished 🚨cansado de comprar e não receber? vem comigo consultavel para compras na net e virada de saldo e as unidades apenas para compras na net shein ifood americanas uber entre outros tenho referencias 💳,2022-07-11 02:04:15+00:00,0,0,0,0,pos
818,1546314366458494977,Bruno Alexandreˢᶠᶜ,@eulinyker 🚨cansado de comprar e não receber? vem comigo consultavel para compras na net e virada de saldo e as unidades apenas para compras na net shein ifood americanas uber entre outros tenho referencias 💳,2022-07-11 02:04:08+00:00,0,0,0,0,pos
819,1546314365502095361,gabe,fiquei escolhendo comida no ifood até fechar quase tudo e agora vou comer sardinha enlatada e beber água de palmito 🤩,2022-07-11 02:04:08+00:00,0,2,6,0,neg
820,1546314334690762753,Cupom de desconto | ofertas,viciado em cupons do ifood,2022-07-11 02:04:01+00:00,0,0,0,0,pos
821,1546314313677377538,Paco,ifood aberto nenhum pedido já passava das h fui tomar banho pendurei a toalha campainha do ifood toca um pedido bolos de pote e uma caixa de brigadeiro 🌝,2022-07-11 02:03:56+00:00,0,0,2,0,pos
822,1546314232760762370,Marp🗡🏳️‍🌈,cupom de desconto cornershop by uber faça suas compras de mercado sem sair de casa com as primeiras entregas grátis! se cadastre pelo nosso link e aproveite os descontos exclusivos! https t co xilq vvc #uber #ubereats #ifood #mercado #rappi https t co zdsvirilem,2022-07-11 02:03:36+00:00,0,0,0,0,pos
823,1546314163219308546,𝕭𝖊𝖑𝖑,o homem nasce bom pedir ifood e vir uma bosta o corrompe,2022-07-11 02:03:20+00:00,0,0,0,0,neg
824,1546313882263764992,Tamires Freitas,@yukaa_ sera que vende esse copo na internet? eu moro no interior e mal tem restaurante de ifood aqui shauzhaus fui incapacitada de ter o copo,2022-07-11 02:02:13+00:00,0,1,0,0,pos
825,1546313444651065346,froquis,parabéns ifood me deixou com uma puta vontade de comer açaí e fodeu com meu pedido👍🏽,2022-07-11 02:00:28+00:00,0,0,0,0,neg
826,1546313207211606018,Joyce,@lucaschiades @umusicbrasil @ifood cara será possível q eles nunca vão mudar o serviço merda? desde q a loja abriu dá problema!,2022-07-11 01:59:32+00:00,0,1,1,0,pos
827,1546312907381768192,Jeane Valdez,ódio pedi um ifood e esqueceram do mais importante meu purê… ódio af,2022-07-11 01:58:20+00:00,0,0,0,0,pos
828,1546312840931418114,𝑔𝑎𝑏𝑠 🗡 | 📖: acowar | toria's bday,@eumesmo @umusicbrasil @ifood que nada mandei email dm direct e não responderam,2022-07-11 01:58:05+00:00,0,1,0,0,pos
829,1546312806303162369,Dra. Taylor Swift,nu mano que odio pedi um mc no @ifood e eles nao me mandaram a batataaaaaa,2022-07-11 01:57:56+00:00,0,1,0,0,pos
830,1546312802737979394,luan,estamos sempre pedindo ifood uber e eles nunca fazem uma graça de mandar cupom bah acho o fim,2022-07-11 01:57:55+00:00,0,0,0,0,neg
831,1546312678205001728,hax,esse lugar é a sua cara! use o ícone de coração no app pra salvar a loja na sua área de favoritos casa do lanche e restaurante https t co mvojeknji,2022-07-11 01:57:26+00:00,0,0,0,0,pos
832,1546312581190717440,Gabriela Rabelo,@lukecruell mn eu tenho um trauma enorme em comprar no ifood,2022-07-11 01:57:03+00:00,0,1,0,0,neg
833,1546312473556443137,Priscila,@mendesttt @ifood meu deus do céu é responsabilidade de quem entao?,2022-07-11 01:56:37+00:00,0,0,0,0,pos
834,1546312358821302272,"Link, o Stalker 🍀",vai fazer min que falaram que meu pedido estava a caminho mas ate agora nadaaaaaa ifood eu quero comerrrrr😭😭😭😭😭😭😭,2022-07-11 01:56:10+00:00,0,1,0,0,pos
835,1546312284049444866,ator da globe,ifood ou bixin caro da pert so vou pedi porque o playboy ak pode,2022-07-11 01:55:52+00:00,0,0,0,0,pos
836,1546312202507935746,@AsomellierR,alguem já conseguiu reembolso pelo ifood,2022-07-11 01:55:32+00:00,0,0,0,0,neg
837,1546312197038641153,t. ✨,abri o ifood uns x e não consigo pedir nada,2022-07-11 01:55:31+00:00,0,0,1,0,neg
838,1546311870881087488,mauro,@mentecact é porque faltou a ª dose dose de reforço máscara pffdp n distanciamento de metro álcool em gel ifood punhetas diárias sexo sem contato #forabolsonaro #ficaemcasa,2022-07-11 01:54:13+00:00,0,1,6,0,pos
839,1546311793798152192,Caio,@ifood vocês precisam fazer alguma coisa! motoboy chegou na portaria do meu prédio e mandou o porteiro me pedir o código eu disse que só passaria quando ele entregasse o lanche no meu ap e ele disse que não iria subir que eu poderia cancelar entao…,2022-07-11 01:53:55+00:00,0,1,0,0,neg
840,1546311042040471554,muliro,rt @eligarcia rodinei tomando o lugar do andreas no ifood com muito mais sucesso,2022-07-11 01:50:56+00:00,5,0,0,0,pos
841,1546310751228493828,mila,fiz um pedido no @ifood e no app tava como entrega concluída mas não recebi nenhum pedido liguei na loja e falaram que a entrega é de responsabilidade do ifood e que as vezes os pedidos não são entregues que isso????,2022-07-11 01:49:46+00:00,0,1,0,0,neg
842,1546310571963944961,𝕯𝖎𝖆𝖇𝖆,muito cadela do ifood mercado sempre tem promo e chega em min na minha casa,2022-07-11 01:49:04+00:00,0,0,7,0,pos
843,1546310496063717376,thai,alguma dica de restaurante bom pra pedir comida nessa bomba desse ifood,2022-07-11 01:48:45+00:00,0,0,0,0,neg
844,1546310443861516288,Takai M.,todo codigo do ifood é o mesmo,2022-07-11 01:48:33+00:00,0,0,1,0,pos
846,1546310274881404929,Freeze,@aaaadnamaaaa vei o ifood sobe o preço de td dps@solta “cupom” q fica no preço normal,2022-07-11 01:47:53+00:00,0,1,2,0,pos
847,1546310104957566976,eu amo gordinhos,achei que tinha feito o pedido no ifood mas não fiz… hora esperando nada 🤡🤡🤡🤡,2022-07-11 01:47:12+00:00,0,0,8,0,neg
848,1546309993925943299,Ti - Odeio o TikTok,falei cedo demais e vi o que não queria kkkk pelo menos vim pra casa a tempo de afogar as mágoas no ifood,2022-07-11 01:46:46+00:00,0,0,0,0,neg
849,1546309944412102657,2.T 😎,@ifood onde é o suporte? no app não acontece nada estou com fome pedido atrasado mais de uma hora você pode me ajudar?,2022-07-11 01:46:34+00:00,0,0,0,0,neg
850,1546309558477389824,Paulo Junior,@lucaschiades @umusicbrasil @ifood resolveu o negócio com a universal?,2022-07-11 01:45:02+00:00,0,1,0,0,pos
851,1546309352222515202,Iris 🌪️,trocaram meu pedido no ifood com a vizinha fui lá e destroquei,2022-07-11 01:44:13+00:00,0,0,1,0,pos
852,1546309303979614210,Gorilla,@delay_ em geral prefiro bk pelos stacker's mas te entendo as vezes só quero um maczinho e outra pedir pelo ifood sempre é mais chances de vir zuado,2022-07-11 01:44:01+00:00,0,1,1,0,neg
853,1546309118121725953,mafaldo,rodei rodei o ifood p no fim comprar o de sempre pizza de marguerita brownie e suco da fruta esse foi de goiaba amassei,2022-07-11 01:43:17+00:00,0,0,0,0,pos
854,1546309019584847872,𝐢𝐬𝐚,mano e tem uma loja de bolo aberta no ifood wtf??? comprei,2022-07-11 01:42:53+00:00,0,0,0,0,pos
855,1546308949145800705,melhor sozinha :-)-:,@ogaaabriel 🚨cansado de comprar e não receber? vem comigo consultavel para compras na net e virada de saldo e as unidades apenas para compras na net shein ifood americanas uber entre outros tenho referencias 💳,2022-07-11 01:42:37+00:00,0,1,0,0,pos
856,1546308859559559170,nini⁷ in the box 🌴,tô vendo legal que ess vida de ifood n tá dando vazão mermão vida de app tá foda vou começar a fazer perfil fake de mulher em jogos tt e instagram pra poder levantar uma dinheiro já que o mundo é de sacanagem,2022-07-11 01:42:15+00:00,0,0,0,0,neg
857,1546308810054242304,Artyventurer 💕 Comms open (1/2),@namamatk @damaresalves @jairbolsonaro fique em casa que a comida vem pelo ifood mas só pra quem pode,2022-07-11 01:42:04+00:00,0,0,0,0,neg
858,1546308769252007936,Luana,o @ifood é uma m rd me deram o cupom e quando eu adiciono o cupom eu não consigo comprar da erro pede pra eu entrar em contato com eles mas é impossível fazer isso resolve isso aí @ifood,2022-07-11 01:41:54+00:00,0,1,0,0,neg
859,1546308569364045824,Daniel Oliveira,eu e ela escolhendo o que vamos pedir igual no ifood,2022-07-11 01:41:06+00:00,0,4,6,1,pos
860,1546308520785711104,Coffii,@alkiminaj @ifood esse açaí é mt ruim vc teve sorte tem gosto de guaraná gay,2022-07-11 01:40:55+00:00,0,1,0,0,pos
861,1546308239737880578,𝖎𝖒 𝖏𝖔𝖆𝖔,@mazzotter infelizmente não 💔 há meses estou querendo mas ninguem apoia os meus sonhos vou pro baymarket sozinha vou pedir um combo de esfirras do ifood sozinha nada como a independência ela é como um passaro que florea em dias frios após ventos chuvosos da funebre humana,2022-07-11 01:39:48+00:00,0,2,2,0,pos
862,1546308190886940679,𝘓𝘢𝘷𝘢 𝘣𝘰𝘺,uma raiva pedido no ifood não rastreável,2022-07-11 01:39:36+00:00,1,1,13,0,pos
864,1546307977187057665,kah,"eu fico pensando ""será que esse restaurante tá realmente aberto ou eles só esqueceram de fechar no ifood???"" 😭",2022-07-11 01:38:45+00:00,0,0,2,0,neg
865,1546307490790391809,de repente jéssica,pedir um ifood e dormir com minhas filhas 😅,2022-07-11 01:36:49+00:00,0,0,0,0,pos
866,1546306980310032390,mafeh ||🦋 because of you,@ifood não consigo cancelar o pedido e a loja me diz que está pronto faz tempo!,2022-07-11 01:34:47+00:00,0,0,0,0,pos
867,1546306852862017536,Paola.,@popopiercer @tatsbuenos @analaurasss unico restaurante que vi com qr foi na minha viagem pro rj foi muito esquisito pra mim pq eu achei q pedia igual ifood e vc enviava o pedido de lá mas era só a lista msm kkkkkkkkkkkk e a minha família não tinha leitor de qr tive que emprestar meu celular e baixar app tbm,2022-07-11 01:34:17+00:00,0,2,1,1,neg
868,1546306847153471489,Matthew Matthew,alô @ifood tenho um pedido em andamento há mais de uma hora o entregador não chegou na loja e não consigo nenhum suporte de vocês,2022-07-11 01:34:16+00:00,0,1,0,0,neg
869,1546306375290175489,Carla 💫,atualizações eu e ela fomos novamente na padaria e chocados com a inflação dos preços um pote de sorvete da kibom tava reais e variando disso a reais logo compramos um tablito que pasmem era reais sem falar que os açaí do ifood tudo caro também bolsonaro te odeio https t co nikxictq h,2022-07-11 01:32:23+00:00,0,0,0,0,pos
870,1546306168297033728,"Popô,não Popó",tenho sorte demais com essas coisas essa semana já foi com os cds da @umusicbrasil e agora o @ifood,2022-07-11 01:31:34+00:00,0,1,1,0,pos
871,1546306054853632005,Taw,tudo caro nesse ifood vtnc,2022-07-11 01:31:07+00:00,0,0,1,0,pos
872,1546305976801890308,$✨,eu super concentrado no vídeo e do nada pah anúncio do ifood isso n me motiva a comprar no ifood me faz ter ranço 🙄,2022-07-11 01:30:48+00:00,0,0,0,0,neg
873,1546305898418692096,Gabriele Olliv,me entupi de ifood nos últimos três dias,2022-07-11 01:30:29+00:00,0,0,0,0,pos
874,1546305868098060289,Alessandro de Paula,meu pedido do ifood veio errado velhoooo que ódioooooooo https t co rjyx jhsul,2022-07-11 01:30:22+00:00,0,1,0,0,pos
875,1546305739446165504,martinsteff 💅,fui buscar o ifood vestida de mendiga e sim meu crush do prédio desceu no msm elevador que eu,2022-07-11 01:29:51+00:00,0,0,0,0,neg
876,1546304166750044160,joão joão 🇲🇨,chamei no xis que tinha menos tempo previsto pra entregar pelo ifood jah jah vai ter q abençoar a larica,2022-07-11 01:23:36+00:00,0,0,0,0,pos
877,1546303809978339329,Bruno César,@yannehellenn se é assim as críticas ao ifood seria xenofobia também? quando se tratar do arão amém que saiu gh lp diego alves diego er vai ser o que? as críticas são pelas recorrentes falhas,2022-07-11 01:22:11+00:00,0,0,0,0,pos
878,1546303736406056963,Coffii,@tatsbuenos @popopiercer @analaurasss deixar de ir em um restaurante pra pedir ifood é foda,2022-07-11 01:21:54+00:00,1,1,2,0,pos
879,1546303502363885568,kavad. ST4 🎸,eu nunca pensei q faria isso mas acabei de trocar instagram com um entregador do ifood gentekkkkkk mto lindao,2022-07-11 01:20:58+00:00,0,0,0,0,neg
880,1546303464644530180,Paulin,tanto tempo que não uso ifood os cara deram até de doido descontao de reais kkkkkk do nada agradeço aos patrocinadores!!,2022-07-11 01:20:49+00:00,0,0,0,0,pos
881,1546303268481126400,Kate,@ifood e @mcdonalds_br excelente atendimento esperar um pedido duas horas e ter ele cancelado é uma amostra do descaso da forma que trabalham! que lix https t co r rr oobf,2022-07-11 01:20:02+00:00,0,1,0,0,pos
882,1546303136997990402,Sávier,usar um cardápio que todo mundo coloca a mão ou ver as mesmas coisas pela tela do seu celular? é praticamente a mesma coisa que olhar o cardápio no ifood vida longa ao cardápio por qr code https t co ca zks ks,2022-07-11 01:19:31+00:00,0,0,1,0,neg
883,1546303126663200769,ari,melhor invenção dos últimos tempos fazer mercado via ifood juro que coisa maravilhosaaaaa,2022-07-11 01:19:28+00:00,0,1,0,0,pos
884,1546302758076268544,César 🥷,boa nem ifood tem rapaziada q lugar é esse,2022-07-11 01:18:01+00:00,0,0,0,0,neg
885,1546302636806311936,dudu,deus me segure pois estou com vontade pedir um lanchinho no ifood,2022-07-11 01:17:32+00:00,0,0,1,0,pos
886,1546302609065230337,Pedro,eu super entendo as ocorrências que podem ocorrer nas entregas pelo @ifood mas poxa um estabelecimento que é km da minha casa atrasar mais de min e eu que ainda desço antes pra não deixar ninguém esperando é triste viu?,2022-07-11 01:17:25+00:00,0,0,0,0,neg
887,1546302589523877888,Raul Nunes,final de semana eu tava muito afim de cozinhar e assim foi feito todas as refeições amanhã ifood não me escapa,2022-07-11 01:17:20+00:00,0,0,0,0,pos
888,1546302562357444608,Tats Bueno - a do Bujolizando,@coffiieg @popopiercer @analaurasss a melhor solução é ficar em casa olha no ifood ou pede pro ifood mandar um cardápio impresso pra sua casa,2022-07-11 01:17:14+00:00,0,3,0,1,pos
889,1546302510247432193,thiago,será que o ifood entrega aquela atleticana aqui em casa?,2022-07-11 01:17:02+00:00,0,1,1,1,pos
891,1546302503762935811,bah,pedi um lanche ai estava quase pra chegar o pedido foi cancelado perguntei pq o ifood disse q o motoqueiro se acidentou,2022-07-11 01:17:00+00:00,0,1,1,0,neg
892,1546302248136892417,тανασ,fiz um pedido no @ifood e tá minutos atrasado o pior que o restaurante não dá nenhuma satisfação,2022-07-11 01:15:59+00:00,0,0,0,0,neg
893,1546301931295019008,possacrazy,qual o máximo de tempo que alguém pode passar escolhendo um lanche no ifood?,2022-07-11 01:14:43+00:00,0,1,3,0,neg
